41618, 207124,54, 0, 6, 11, 574
CP 41625, 1275, 1266, 0, 0, 1, 0, 0
CP 41725, 1275, 1267, 0, 0, 1, 0, 0
41785, 207126,54, 0, 6, 11, 575
CP 41825, 1275, 1267, 0, 0, 1, 0, 0
CP 41925, 1275, 1267, 0, 0, 1, 0, 0
41951, 207117,54, 0, 6, 11, 579
CP 42025, 1275, 1267, 0, 0, 1, 0, 0
42118, 207074,54, 0, 6, 11, 576
CP 42125, 1275, 1267, 0, 0, 1, 0, 0
CP 42225, 1275, 1267, 0, 0, 1, 0, 0
42284, 207014,54, 0, 6, 11, 582
CP 42325, 1275, 1268, 0, 0, 1, 0, 0
CP 42425, 1275, 1267, 0, 0, 1, 0, 0
42451, 206989,53, 0, 6, 11, 579
CP 42525, 1275, 1267, 0, 0, 1, 0, 0
42619, 206470,54, 0, 6, 11, 584
CP 42625, 1275, 1267, 0, 0, 1, 0, 0
CP 42725, 1275, 1267, 0, 0, 1, 0, 0
42785, 207162,55, 0, 6, 11, 581
CP 42825, 1275, 1267, 0, 0, 1, 0, 0
CP 42925, 1276, 1267, 0, 0, 1, 0, 0
42952, 207197,54, 0, 6, 11, 572
CP 43025, 1275, 1267, 0, 0, 1, 0, 0
43118, 207193,55, 0, 6, 11, 581
CP 43125, 1277, 1267, 0, 0, 1, 0, 0
CP 43225, 1275, 1267, 0, 0, 1, 0, 0
43285, 207181,54, 0, 6, 11, 581
CP 43325, 1275, 1267, 0, 0, 1, 0, 0
CP 43425, 1275, 1267, 0, 0, 1, 0, 0
43451, 207168,54, 0, 6, 11, 576
CP 43525, 1275, 1268, 0, 0, 1, 0, 0
43618, 207155,54, 0, 6, 11, 582
CP 43625, 1275, 1267, 0, 0, 1, 0, 0
CP 43725, 1275, 1267, 0, 0, 1, 0, 0
43785, 207085,54, 0, 6, 11, 571
CP 43825, 1275, 1267, 0, 0, 1, 0, 0
CP 43925, 1275, 1267, 0, 0, 1, 0, 0
43951, 207066,54, 0, 6, 11, 574
CP 44025, 1275, 1267, 0, 0, 1, 0, 0
44119, 206561,54, 0, 6, 11, 569
CP 44125, 1276, 1268, 0, 0, 1, 0, 0
CP 44225, 1275, 1267, 0, 0, 1, 0, 0
44285, 207277,55, 0, 6, 11, 570
CP 44325, 1276, 1268, 0, 0, 1, 0, 0
CP 44425, 1275, 1267, 0, 0, 1, 0, 0
44452, 207286,54, 0, 6, 11, 574
CP 44525, 1276, 1267, 0, 0, 1, 0, 0
44619, 207265,55, 0, 6, 11, 577
CP 44625, 1275, 1267, 0, 0, 1, 0, 0
CP 44725, 1275, 1267, 0, 0, 1, 0, 0
44785, 207269,55, 0, 6, 11, 581
CP 44825, 1275, 1267, 0, 0, 1, 0, 0
CP 44925, 1275, 1267, 0, 0, 1, 0, 0
44952, 207273,54, 0, 6, 11, 583
CP 45025, 1275, 1267, 0, 0, 1, 0, 0
45118, 207209,54, 0, 6, 11, 572
CP 45125, 1276, 1267, 0, 0, 1, 0, 0
CP 45225, 1275, 1267, 0, 0, 1, 0, 0
45285, 207143,54, 0, 6, 11, 574
CP 45325, 1275, 1267, 0, 0, 1, 0, 0
CP 45425, 1276, 1267, 0, 0, 1, 0, 0
45451, 207103,54, 0, 6, 11, 576
CP 45525, 1275, 1267, 0, 0, 1, 0, 0
45619, 206563,55, 0, 6, 11, 582
CP 45625, 1275, 1267, 0, 0, 1, 0, 0
CP 45725, 1276, 1265, 0, 0, 1, 0, 0
45786, 207260,55, 0, 6, 11, 583
CP 45825, 1275, 1268, 0, 0, 1, 0, 0
CP 45925, 1275, 1267, 0, 0, 1, 0, 0
45952, 207273,54, 0, 6, 11, 577
CP 46025, 1275, 1267, 0, 0, 1, 0, 0
46119, 207249,56, 0, 6, 11, 581
CP 46125, 1275, 1267, 0, 0, 1, 0, 0
CP 46225, 1275, 1267, 0, 0, 1, 0, 0
46285, 207220,54, 0, 6, 11, 571
CP 46325, 1276, 1267, 0, 0, 1, 0, 0
CP 46425, 1275, 1267, 0, 0, 1, 0, 0
46452, 207199,54, 0, 6, 11, 570
CP 46525, 1275, 1266, 0, 0, 1, 0, 0
46619, 207184,54, 0, 6, 11, 572
CP 46625, 1275, 1267, 0, 0, 1, 0, 0
CP 46725, 1275, 1267, 0, 0, 1, 0, 0
46785, 207147,54, 0, 6, 11, 571
CP 46825, 1275, 1267, 0, 0, 1, 0, 0
CP 46925, 1276, 1267, 0, 0, 1, 0, 0
46952, 207083,54, 0, 6, 11, 577
CP 47025, 1276, 1267, 0, 0, 1, 0, 0
47119, 206606,55, 0, 6, 11, 572
CP 47125, 1275, 1267, 0, 0, 1, 0, 0
CP 47225, 1291, 1248, 0, 0, 1, 0, 0
47286, 207327,54, 0, 6, 11, 570
CP 47325, 1276, 712, 0, 0, 1, 0, 0
CP 47425, 963, 919, 0, 0, 1, 0, 0
47453, 207353,55, 0, 6, 11, 580
CP 47525, 961, 930, 0, 0, 2, 0, 0
47619, 207363,55, 0, 6, 11, 570
CP 47625, 958, 944, 0, 0, 2, 0, 0
CP 47725, 956, 944, 0, 0, 2, 0, 0
47786, 207303,55, 0, 6, 11, 572
CP 47825, 961, 945, 0, 0, 2, 0, 0
CP 47925, 956, 944, 0, 0, 2, 0, 0
47952, 207274,56, 0, 6, 11, 577
CP 48025, 956, 947, 0, 0, 2, 0, 0
48119, 207190,55, 0, 6, 11, 580
CP 48125, 956, 946, 0, 0, 2, 0, 0
CP 48225, 956, 946, 0, 0, 2, 0, 0
48285, 207116,54, 0, 6, 11, 567
CP 48325, 956, 947, 0, 0, 2, 0, 0
CP 48425, 957, 946, 0, 0, 2, 0, 0
48453, 206643,54, 0, 6, 11, 570
CP 48525, 956, 946, 0, 0, 2, 0, 0
48620, 207345,55, 0, 6, 11, 572
CP 48625, 956, 944, 0, 0, 2, 0, 0
CP 48725, 956, 944, 0, 0, 2, 0, 0
48786, 207331,55, 0, 6, 11, 578
CP 48825, 956, 947, 0, 0, 2, 0, 0
CP 48925, 956, 944, 0, 0, 2, 0, 0
48953, 207312,57, 0, 6, 11, 590
CP 49025, 956, 947, 0, 0, 2, 0, 0
49119, 207293,55, 0, 6, 11, 577
CP 49125, 956, 946, 0, 0, 2, 0, 0
CP 49225, 956, 947, 0, 0, 2, 0, 0
49286, 207250,55, 0, 6, 11, 579
CP 49325, 956, 947, 0, 0, 2, 0, 0
CP 49425, 956, 947, 0, 0, 2, 0, 0
49453, 207223,56, 0, 6, 11, 582
CP 49525, 956, 944, 0, 0, 2, 0, 0
49619, 207200,55, 0, 6, 11, 580
CP 49625, 955, 946, 0, 0, 2, 0, 0
CP 49725, 956, 944, 0, 0, 2, 0, 0
49786, 207116,55, 0, 6, 11, 583
CP 49825, 956, 944, 0, 0, 2, 0, 0
CP 49925, 957, 946, 0, 0, 2, 0, 0
49953, 206628,55, 0, 6, 11, 583
CP 50025, 957, 944, 0, 0, 2, 0, 0
50120, 207362,55, 0, 6, 11, 581
CP 50125, 956, 945, 0, 0, 2, 0, 0
CP 50225, 956, 946, 0, 0, 2, 0, 0
50287, 207322,56, 0, 6, 11, 585
CP 50325, 957, -1329, 9464, 9999, 2, 0, 0
CP 50425, 956, -1329, 8016, 9999, 3, 0, 0
50453, 207317,55, 0, 6, 11, 581
CP 50525, 644, -1329, 8008, 10001, 3, 0, 0
50620, 207280,54, 0, 6, 11, 568
CP 50625, 643, -1329, 8008, 10001, 4, 4804, 0
CP 50725, 642, -1330, 8008, 10001, 4, 4804, 0
50786, 207227,57, 0, 6, 11, 580
CP 50825, 643, -1332, 8008, 9999, 4, 4804, 0
CP 50925, 642, -1329, 8013, 10001, 4, 4807, 0
50953, 207195,56, 0, 6, 11, 581
CP 51025, 643, -1330, 8005, 10001, 4, 4803, 0
51119, 207171,55, 0, 6, 11, 578
CP 51125, 642, -1331, 8013, 9999, 4, 4807, 0
CP 51225, 642, -1330, 8008, 10001, 4, 4804, 0
51287, 206620,55, 0, 6, 11, 579
CP 51325, 644, -1331, 8008, 10001, 4, 4804, 0
CP 51425, 644, -1329, 8010, 10001, 4, 4806, 0
51454, 207275,57, 0, 6, 11, 583
CP 51525, 642, -1331, 8008, 9999, 4, 4804, 0
51620, 207254,55, 0, 6, 11, 585
CP 51625, 642, -1332, 8010, 10001, 4, 4806, 0
CP 51725, 643, -1331, 8005, 10001, 4, 4803, 0
51787, 207276,729, 0, 8, 151, 55
CP 51825, 743, -1331, 8010, 9999, 4, 4806, 0
CP 51925, 645, -1330, 8008, 10001, 4, 4804, 0
51953, 207269,1309, 0, 11, 271, 40
CP 52025, 643, -1331, 8010, 10001, 4, 4806, 0
52120, 207253,1306, 0, 9, 270, 36
CP 52125, 643, -1330, 8005, 10001, 4, 4803, 0
CP 52225, 644, -1331, 8008, 9999, 4, 4804, 0
52287, 207219,1309, 0, 10, 271, 38
CP 52325, 644, -1333, 8010, 10001, 4, 4806, 0
CP 52425, 643, -1332, 8005, 10001, 4, 4803, 0
52453, 207219,1308, 0, 10, 271, 38
CP 52525, 642, -1332, 8010, 10001, 4, 4806, 0
52621, 206690,1311, 0, 9, 271, 35
