727558, 206412,45, 394, 4, 9, 483
CP 727598, 1269, 1256, 0, 0, 1, 0, 0
CP 727698, 1268, 1256, 0, 0, 1, 0, 0
727724, 206415,46, 394, 4, 9, 482
CP 727798, 1269, 1256, 0, 0, 1, 0, 0
727891, 206439,46, 394, 4, 9, 488
CP 727898, 1268, 1260, 0, 0, 1, 0, 0
CP 727998, 1269, 1260, 0, 0, 1, 0, 0
728058, 206422,46, 394, 4, 9, 492
CP 728098, 1269, 1259, 0, 0, 1, 0, 0
CP 728198, 1269, 1260, 0, 0, 1, 0, 0
728224, 206392,46, 394, 4, 9, 486
CP 728298, 1269, 1256, 0, 0, 1, 0, 0
728391, 206366,47, 394, 4, 9, 493
CP 728398, 1269, 1260, 0, 0, 1, 0, 0
CP 728498, 1269, 1256, 0, 0, 1, 0, 0
728557, 206356,47, 394, 4, 9, 488
CP 728598, 1269, 1260, 0, 0, 1, 0, 0
CP 728698, 1269, 1260, 0, 0, 1, 0, 0
728724, 206335,47, 394, 4, 9, 494
CP 728798, 1269, 1260, 0, 0, 1, 0, 0
728892, 205869,47, 394, 4, 9, 487
CP 728898, 1269, 1260, 0, 0, 1, 0, 0
CP 728998, 1269, 1256, 0, 0, 1, 0, 0
729058, 206601,47, 394, 4, 9, 489
CP 729098, 1269, 1259, 0, 0, 1, 0, 0
CP 729198, 1269, 1260, 0, 0, 1, 0, 0
729225, 206589,48, 394, 4, 9, 490
CP 729298, 1269, 1256, 0, 0, 1, 0, 0
729391, 206551,47, 394, 4, 9, 499
CP 729398, 1269, 1256, 0, 0, 1, 0, 0
CP 729498, 1269, 1260, 0, 0, 1, 0, 0
729558, 206546,47, 394, 4, 9, 506
CP 729598, 1269, 1260, 0, 0, 1, 0, 0
CP 729698, 1271, 1261, 0, 0, 1, 0, 0
729725, 206552,48, 394, 5, 10, 505
CP 729798, 1269, 1256, 0, 0, 1, 0, 0
729891, 206527,48, 394, 4, 9, 503
CP 729898, 1269, 1261, 0, 0, 1, 0, 0
CP 729998, 1269, 1260, 0, 0, 1, 0, 0
730058, 206524,49, 394, 5, 10, 507
CP 730098, 1269, 1256, 0, 0, 1, 0, 0
CP 730198, 1269, 1260, 0, 0, 1, 0, 0
730224, 206525,49, 394, 5, 10, 503
CP 730298, 1269, 1261, 0, 0, 1, 0, 0
730391, 206530,51, 394, 5, 10, 518
CP 730398, 1269, 1260, 0, 0, 1, 0, 0
CP 730498, 1269, 1256, 0, 0, 1, 0, 0
730558, 206527,49, 394, 5, 10, 499
CP 730598, 1269, 1256, 0, 0, 1, 0, 0
CP 730698, 1269, 1259, 0, 0, 1, 0, 0
730724, 206547,48, 394, 5, 10, 503
CP 730798, 1269, 1260, 0, 0, 1, 0, 0
730891, 206542,49, 394, 5, 10, 523
CP 730898, 1269, 1259, 0, 0, 1, 0, 0
CP 730998, 1269, 1260, 0, 0, 1, 0, 0
731057, 206580,48, 394, 4, 9, 494
CP 731098, 1269, 1260, 0, 0, 1, 0, 0
CP 731198, 1269, 1261, 0, 0, 1, 0, 0
731224, 206561,48, 394, 4, 10, 494
CP 731298, 1269, 1260, 0, 0, 1, 0, 0
731391, 206561,48, 394, 5, 10, 508
CP 731398, 1269, 1259, 0, 0, 1, 0, 0
CP 731497, 1269, 1260, 0, 0, 1, 0, 0
731557, 206555,48, 394, 5, 10, 497
CP 731597, 1269, 1261, 0, 0, 1, 0, 0
CP 731697, 1269, 1260, 0, 0, 1, 0, 0
731724, 206563,48, 394, 5, 10, 505
CP 731797, 1269, 1260, 0, 0, 1, 0, 0
731890, 206601,48, 394, 4, 9, 491
CP 731897, 1269, 1259, 0, 0, 1, 0, 0
CP 731997, 1269, 1261, 0, 0, 1, 0, 0
732057, 206599,47, 394, 4, 9, 491
CP 732097, 1269, 1256, 0, 0, 1, 0, 0
CP 732197, 1269, 1260, 0, 0, 1, 0, 0
732224, 206544,47, 394, 4, 9, 492
CP 732297, 1268, 1256, 0, 0, 1, 0, 0
732390, 206492,47, 394, 4, 9, 487
CP 732397, 1269, 1259, 0, 0, 1, 0, 0
CP 732497, 1269, 1259, 0, 0, 1, 0, 0
732557, 206499,47, 394, 4, 9, 485
CP 732597, 1269, 1260, 0, 0, 1, 0, 0
CP 732697, 1269, 1256, 0, 0, 1, 0, 0
732723, 206497,46, 394, 4, 9, 480
CP 732797, 1269, 1260, 0, 0, 1, 0, 0
732890, 206507,46, 394, 4, 9, 483
CP 732897, 1268, 1261, 0, 0, 1, 0, 0
CP 732997, 1269, 1259, 0, 0, 1, 0, 0
733057, 206505,46, 394, 4, 9, 490
CP 733097, 1269, 1260, 0, 0, 1, 0, 0
CP 733197, 1269, 1260, 0, 0, 1, 0, 0
733223, 206487,46, 394, 4, 9, 488
CP 733297, 1269, 1256, 0, 0, 1, 0, 0
733390, 206459,46, 394, 4, 9, 491
CP 733397, 1269, 1259, 0, 0, 1, 0, 0
CP 733497, 1269, 1260, 0, 0, 1, 0, 0
733556, 206457,46, 394, 4, 9, 482
CP 733597, 1269, 1256, 0, 0, 1, 0, 0
CP 733697, 1269, 1259, 0, 0, 1, 0, 0
733723, 206459,46, 394, 4, 9, 489
CP 733797, 1269, 1256, 0, 0, 1, 0, 0
733890, 206493,47, 394, 4, 9, 489
CP 733897, 1269, 1260, 0, 0, 1, 0, 0
CP 733997, 1269, 1259, 0, 0, 1, 0, 0
734056, 206470,47, 394, 4, 9, 502
CP 734097, 1269, 1260, 0, 0, 1, 0, 0
CP 734197, 1269, 1256, 0, 0, 1, 0, 0
734223, 206458,47, 394, 4, 9, 490
CP 734297, 1269, 1260, 0, 0, 1, 0, 0
734389, 206420,47, 394, 4, 9, 499
CP 734397, 1269, 1260, 0, 0, 1, 0, 0
CP 734497, 1269, 1260, 0, 0, 1, 0, 0
734556, 206440,47, 394, 4, 9, 501
CP 734597, 1269, 1260, 0, 0, 1, 0, 0
CP 734697, 1269, 1256, 0, 0, 1, 0, 0
734723, 206414,48, 394, 5, 9, 504
CP 734797, 1269, 1256, 0, 0, 1, 0, 0
734889, 206390,48, 394, 5, 9, 504
CP 734897, 1269, 1260, 0, 0, 1, 0, 0
CP 734997, 1269, 1260, 0, 0, 1, 0, 0
735056, 206412,48, 394, 5, 9, 501
CP 735097, 1269, 1259, 0, 0, 1, 0, 0
CP 735197, 1269, 1260, 0, 0, 1, 0, 0
735222, 206422,48, 394, 4, 10, 498
CP 735297, 1269, 1260, 0, 0, 1, 0, 0
735389, 206404,48, 394, 5, 10, 501
CP 735397, 1271, 1260, 0, 0, 1, 0, 0
CP 735497, 1269, 1260, 0, 0, 1, 0, 0
735556, 206403,49, 394, 5, 10, 509
CP 735597, 1269, 1261, 0, 0, 1, 0, 0
CP 735697, 1269, 1260, 0, 0, 1, 0, 0
735722, 206420,49, 394, 5, 10, 499
CP 735797, 1269, 1260, 0, 0, 1, 0, 0
735889, 206388,49, 394, 5, 10, 508
CP 735897, 1269, 1259, 0, 0, 1, 0, 0
CP 735997, 1269, 1260, 0, 0, 1, 0, 0
736055, 206397,48, 394, 5, 10, 502
CP 736097, 1269, 1260, 0, 0, 1, 0, 0
CP 736197, 1269, 1259, 0, 0, 1, 0, 0
736222, 206385,48, 394, 5, 9, 504
CP 736297, 1269, 1260, 0, 0, 1, 0, 0
736389, 206392,48, 394, 4, 9, 503
CP 736397, 1269, 1260, 0, 0, 1, 0, 0
CP 736497, 1269, 1260, 0, 0, 1, 0, 0
736555, 206421,48, 394, 5, 10, 497
CP 736597, 1269, 1260, 0, 0, 1, 0, 0
CP 736697, 1269, 1260, 0, 0, 1, 0, 0
736722, 206418,47, 394, 4, 9, 502
CP 736797, 1269, 1256, 0, 0, 1, 0, 0
736888, 206425,48, 394, 5, 9, 508
CP 736897, 1271, 1260, 0, 0, 1, 0, 0
CP 736997, 1269, 1260, 0, 0, 1, 0, 0
737055, 206443,47, 394, 4, 9, 490
CP 737097, 1269, 1260, 0, 0, 1, 0, 0
CP 737197, 1269, 1259, 0, 0, 1, 0, 0
737221, 206411,47, 394, 4, 9, 487
CP 737297, 1269, 1260, 0, 0, 1, 0, 0
737388, 206376,47, 394, 4, 9, 489
CP 737397, 1269, 1256, 0, 0, 1, 0, 0
CP 737497, 1269, 1260, 0, 0, 1, 0, 0
737555, 206396,47, 394, 4, 9, 493
CP 737597, 1269, 1260, 0, 0, 1, 0, 0
CP 737697, 1269, 1256, 0, 0, 1, 0, 0
737721, 206412,46, 394, 4, 9, 492
CP 737797, 1269, 1260, 0, 0, 1, 0, 0
737888, 206423,46, 394, 4, 9, 483
