CP 103623, 1269, 1261, 0, 0, 1, 0, 0
CP 103723, 1269, 1260, 0, 0, 1, 0, 0
103751, 205054,57, 0, 6, 11, 580
CP 103823, 1270, 1261, 0, 0, 1, 0, 0
103917, 205081,57, 0, 6, 11, 576
CP 103923, 1269, 1261, 0, 0, 1, 0, 0
CP 104023, 1269, 1261, 0, 0, 1, 0, 0
104084, 205080,56, 0, 6, 11, 567
CP 104123, 1269, 1260, 0, 0, 1, 0, 0
CP 104223, 1269, 1261, 0, 0, 1, 0, 0
104251, 205075,56, 0, 6, 11, 575
CP 104323, 1269, 1261, 0, 0, 1, 0, 0
104417, 205102,56, 0, 6, 11, 573
CP 104423, 1269, 1261, 0, 0, 1, 0, 0
CP 104523, 1270, 1260, 0, 0, 1, 0, 0
104584, 205112,57, 0, 6, 11, 566
CP 104623, 1269, 1260, 0, 0, 1, 0, 0
CP 104723, 1269, 1260, 0, 0, 1, 0, 0
104750, 205150,56, 0, 6, 11, 570
CP 104823, 1269, 1261, 0, 0, 1, 0, 0
104917, 205120,57, 0, 6, 11, 586
CP 104923, 1269, 1260, 0, 0, 1, 0, 0
CP 105023, 1269, 1261, 0, 0, 1, 0, 0
105084, 205124,57, 0, 6, 11, 580
CP 105123, 1269, 1260, 0, 0, 1, 0, 0
CP 105223, 1269, 1260, 0, 0, 1, 0, 0
105250, 205126,57, 0, 6, 11, 575
CP 105323, 1271, 1261, 0, 0, 1, 0, 0
105417, 205100,58, 0, 6, 12, 580
CP 105423, 1269, 1261, 0, 0, 1, 0, 0
CP 105523, 1271, 1261, 0, 0, 1, 0, 0
105583, 205108,57, 0, 6, 11, 577
CP 105623, 1270, 1256, 0, 0, 1, 0, 0
CP 105723, 1269, 1260, 0, 0, 1, 0, 0
105750, 205119,58, 0, 6, 11, 579
CP 105823, 1270, 1261, 0, 0, 1, 0, 0
105917, 205097,57, 0, 6, 11, 580
CP 105923, 1269, 1261, 0, 0, 1, 0, 0
CP 106023, 1270, 1256, 0, 0, 1, 0, 0
106083, 205085,57, 0, 6, 11, 570
CP 106123, 1270, 1261, 0, 0, 1, 0, 0
CP 106223, 1269, 1261, 0, 0, 1, 0, 0
106250, 205084,56, 0, 6, 11, 567
CP 106323, 1271, 1256, 0, 0, 1, 0, 0
106416, 205052,56, 0, 6, 11, 579
CP 106422, 1269, 1260, 0, 0, 1, 0, 0
CP 106522, 1269, 1256, 0, 0, 1, 0, 0
106583, 205010,56, 0, 6, 11, 586
CP 106622, 1269, 1256, 0, 0, 1, 0, 0
CP 106722, 1269, 1261, 0, 0, 1, 0, 0
106750, 205009,55, 0, 6, 11, 575
CP 106822, 1269, 1260, 0, 0, 1, 0, 0
106916, 205019,56, 0, 6, 11, 578
CP 106922, 1269, 1261, 0, 0, 1, 0, 0
CP 107022, 1269, 1256, 0, 0, 1, 0, 0
107083, 204996,56, 0, 6, 11, 578
CP 107122, 1270, 1261, 0, 0, 1, 0, 0
CP 107222, 1269, 1261, 0, 0, 1, 0, 0
107249, 205020,56, 0, 6, 11, 576
CP 107322, 1270, 1260, 0, 0, 1, 0, 0
107416, 204992,56, 0, 6, 11, 575
CP 107422, 1269, 1260, 0, 0, 1, 0, 0
CP 107522, 1269, 1261, 0, 0, 1, 0, 0
107583, 204967,57, 0, 6, 11, 577
CP 107622, 1269, 1256, 0, 0, 1, 0, 0
